typ_inond2;datentree;datsortie;id;scenario;emploi_max;hab_perm;est_ref;emploi_min;typ_inond;id_tri
;2019-04-18;;102-01353;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;281-69266;04Fai;4172;4182;f;2503;01;FRD_TRI_LYON
;2019-04-18;;17-69116;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;22-69040;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;270-01243;04Fai;26;122;f;22;01;FRD_TRI_LYON
;2019-04-18;;142-69270;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;149-69293;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;196-69115;02Moy;360;72;f;208;01;FRD_TRI_LYON
;2019-04-18;;311-69010;04Fai;1714;1919;f;1127;01;FRD_TRI_LYON
;2019-04-18;;229-69105;02Moy;8;24;f;7;01;FRD_TRI_LYON
;2019-04-18;;245-69286;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;226-69081;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;333-69236;04Fai;24;133;f;21;01;FRD_TRI_LYON
;2019-04-18;;202-01353;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;207-01043;02Moy;1;2;f;1;01;FRD_TRI_LYON
;2019-04-18;;67-69052;01For;;4;f;0;01;FRD_TRI_LYON
;2019-04-18;;109-69207;01For;15;42;f;12;01;FRD_TRI_LYON
;2019-04-18;;228-69087;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;178-69086;02Moy;1;2;f;1;01;FRD_TRI_LYON
;2019-04-18;;194-69296;02Moy;35;0;f;22;01;FRD_TRI_LYON
;2019-04-18;;310-69089;04Fai;31;230;f;28;01;FRD_TRI_LYON
;2019-04-18;;250-69294;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;90-01339;01For;7;57;f;7;01;FRD_TRI_LYON
;2019-04-18;;216-69101;02Moy;8;31;f;8;01;FRD_TRI_LYON
;2019-04-18;;126-69092;01For;25;40;f;23;01;FRD_TRI_LYON
;2019-04-18;;191-69071;02Moy;1;12;f;1;01;FRD_TRI_LYON
;2019-04-18;;66-01376;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;213-69194;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;29-69117;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;78-69086;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;297-69063;04Fai;528;416;f;320;01;FRD_TRI_LYON
;2019-04-18;;318-69264;04Fai;10736;5646;f;6552;01;FRD_TRI_LYON
;2019-04-18;;265-69260;04Fai;10;45;f;9;01;FRD_TRI_LYON
;2019-04-18;;152-69255;02Moy;33;23;f;24;01;FRD_TRI_LYON
;2019-04-18;;76-01249;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;96-69115;01For;5;26;f;5;01;FRD_TRI_LYON
;2019-04-18;;248-69291;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;139-69273;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;214-69074;02Moy;48;84;f;40;01;FRD_TRI_LYON
;2019-04-18;;27-69076;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;124-69142;01For;678;216;f;559;01;FRD_TRI_LYON
;2019-04-18;;11-69295;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;286-01285;04Fai;114;278;f;78;01;FRD_TRI_LYON
;2019-04-18;;293-69068;04Fai;416;911;f;293;01;FRD_TRI_LYON
;2019-04-18;;202-01238;02Moy;48;119;f;37;01;FRD_TRI_LYON
;2019-04-18;;264-69061;04Fai;5;0;f;5;01;FRD_TRI_LYON
;2019-04-18;;201-01030;02Moy;99;359;f;83;01;FRD_TRI_LYON
;2019-04-18;;184-01275;02Moy;280;6;f;146;01;FRD_TRI_LYON
;2019-04-18;;83-69020;01For;;2;f;0;01;FRD_TRI_LYON
;2019-04-18;;206-01276;02Moy;39;219;f;38;01;FRD_TRI_LYON
;2019-04-18;;312-69278;04Fai;3737;119;f;2308;01;FRD_TRI_LYON
;2019-04-18;;295-69156;04Fai;16;13;f;13;01;FRD_TRI_LYON
;2019-04-18;;203-01347;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;304-01427;04Fai;1128;607;f;628;01;FRD_TRI_LYON
;2019-04-18;;213-69121;02Moy;308;311;f;201;01;FRD_TRI_LYON
;2019-04-18;;114-69272;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;255-69094;04Fai;;12;f;0;01;FRD_TRI_LYON
;2019-04-18;;128-69100;01For;3;10;f;2;01;FRD_TRI_LYON
;2019-04-18;;215-69013;02Moy;85;34;f;47;01;FRD_TRI_LYON
;2019-04-18;;119-69241;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;92-69003;01For;88;408;f;75;01;FRD_TRI_LYON
;2019-04-18;;28-69087;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;235-69268;02Moy;400;10;f;207;01;FRD_TRI_LYON
;2019-04-18;;221-69033;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;179-69279;02Moy;1;3;f;1;01;FRD_TRI_LYON
;2019-04-18;;278-69086;04Fai;29;5;f;21;01;FRD_TRI_LYON
;2019-04-18;;40-69271;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;146-69290;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;59-69123;01For;165;80;f;110;01;FRD_TRI_LYON
;2019-04-18;;151-69179;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;118-69148;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;126-69081;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;168-69249;02Moy;;7;f;0;01;FRD_TRI_LYON
;2019-04-18;;81-69266;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;120-69029;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;210-01166;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;175-69256;02Moy;4;0;f;3;01;FRD_TRI_LYON
;2019-04-18;;104-69046;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;10-01166;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;305-69202;04Fai;629;578;f;426;01;FRD_TRI_LYON
;2019-04-18;;39-69273;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;80-69208;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;223-69027;02Moy;3281;2135;f;1906;01;FRD_TRI_LYON
;2019-04-18;;87-69122;01For;18;6;f;13;01;FRD_TRI_LYON
;2019-04-18;;63-69275;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;82-69297;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;238-69244;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;123-69047;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;227-69076;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;199-01322;02Moy;97;275;f;78;01;FRD_TRI_LYON
;2019-04-18;;217-69116;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;103-01347;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;34-69212;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;210-69089;02Moy;13;80;f;13;01;FRD_TRI_LYON
;2019-04-18;;320-69009;04Fai;1455;1243;f;909;01;FRD_TRI_LYON
;2019-04-18;;18-69148;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;330-69125;04Fai;108;43;f;81;01;FRD_TRI_LYON
;2019-04-18;;86-01285;01For;20;50;f;17;01;FRD_TRI_LYON
;2019-04-18;;173-69083;02Moy;1;10;f;1;01;FRD_TRI_LYON
;2019-04-18;;74-69140;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;170-01243;02Moy;11;40;f;9;01;FRD_TRI_LYON
;2019-04-18;;335-69268;04Fai;682;12;f;364;01;FRD_TRI_LYON
;2019-04-18;;280-69208;04Fai;95;20;f;51;01;FRD_TRI_LYON
;2019-04-18;;218-69148;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;113-69121;01For;23;44;f;14;01;FRD_TRI_LYON
;2019-04-18;;110-69089;01For;31;192;f;29;01;FRD_TRI_LYON
;2019-04-18;;131-69127;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;204-01427;02Moy;987;350;f;539;01;FRD_TRI_LYON
;2019-04-18;;223-69047;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;38-69244;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;302-01238;04Fai;50;156;f;40;01;FRD_TRI_LYON
;2019-04-18;;61-69199;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;104-01427;01For;66;65;f;35;01;FRD_TRI_LYON
;2019-04-18;;209-69281;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;189-69168;02Moy;252;201;f;162;01;FRD_TRI_LYON
;2019-04-18;;288-69005;04Fai;1038;580;f;746;01;FRD_TRI_LYON
;2019-04-18;;14-69272;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;99-01322;01For;29;55;f;24;01;FRD_TRI_LYON
;2019-04-18;;294-69296;04Fai;45;0;f;29;01;FRD_TRI_LYON
